"Region","District","Period","start","end"
"Amhara","LiboKemikem","Tara gedam","tasseling/seed filling","2019-09-27","2019-10-12"
"Amhara","LiboKemikem","Tara gedam","harvesting","2019-11-11","2019-11-25"
"Tigray","Endamekoni","Simret","land preparation","2019-01-10","2019-06-17"
"Tigray","Endamekoni","Simret","planting","2019-07-09","2019-07-22"
"Tigray","Endamekoni","Simret","flowering","2019-09-05","2019-09-24"
"Tigray","Endamekoni","Simret","tasseling/seed filling","2019-09-24","2019-10-15"
"Tigray","Endamekoni","Simret","harvesting","2019-11-19","2019-12-19"
"Tigray","Samre","AmdiWeyane","land preparation","2019-02-08","2019-06-07"
"Tigray","Samre","AmdiWeyane","planting","2019-07-05","2019-08-01"
"Tigray","Samre","AmdiWeyane","flowering","2019-08-18","2019-09-16"
"Tigray","Samre","AmdiWeyane","tasseling/seed filling","2019-09-30","2019-10-26"
"Tigray","Samre","AmdiWeyane","harvesting","2019-11-09","2019-12-18"
"Tigray","Samre","AmdiWeyane","land preparation","2019-09-22","2020-06-08"
"Tigray","Samre","AmdiWeyane","planting","2019-07-01","2019-07-25"
"Tigray","Samre","AmdiWeyane","flowering","2019-08-24","2019-09-16"
"Tigray","Samre","AmdiWeyane","tasseling/seed filling","2019-08-28","2019-10-05"
"Tigray","Samre","AmdiWeyane","harvesting","2019-10-05","2019-11-30"
"Tigray","RayaAzebo","Mechare","land preparation","2019-03-24","2019-07-22"
"Tigray","RayaAzebo","Mechare","planting","2019-07-13","2019-08-11"
"Tigray","RayaAzebo","Mechare","flowering","2019-08-26","2019-09-04"
"Tigray","RayaAzebo","Mechare","tasseling/seed filling","2019-09-06","2019-09-12"
"Tigray","RayaAzebo","Mechare","harvesting","2019-10-21","2019-12-03"
"Tigray","RayaAzebo","Mechare","land preparation","2019-01-15","2019-03-24"
"Tigray","RayaAzebo","Mechare","planting","2019-04-09","2019-06-08"
"Tigray","RayaAzebo","Mechare","flowering","2019-08-16","2019-09-21"
"Tigray","RayaAzebo","Mechare","tasseling/seed filling","2019-08-22","2019-09-27"
"Tigray","RayaAzebo","Mechare","harvesting","2019-10-30","2019-12-11"
"Tigray","Alamata","Gerjale","land preparation","2019-02-09","2019-04-09"
"Tigray","Alamata","Gerjale","planting","2019-07-22","2019-08-22"
"Tigray","Alamata","Gerjale","flowering","2019-09-02","2019-09-21"
"Tigray","Alamata","Gerjale","tasseling/seed filling","2019-09-07","2019-09-26"
"Tigray","Alamata","Gerjale","harvesting","2019-10-30","2019-11-20"
"Tigray","Alamata","Gerjale","land preparation","2019-02-08","2019-07-07"
"Tigray","Alamata","Gerjale","planting","2019-04-20","2019-06-08"
"Tigray","Alamata","Gerjale","flowering","2019-09-04","2019-09-21"
"Tigray","Alamata","Gerjale","tasseling/seed filling","2019-09-12","2019-09-28"
"Tigray","Alamata","Gerjale","harvesting","2019-11-20","2019-12-18"
"Tigray","Tanqua-Abergele","Tekleweyni","land preparation","2019-01-09","2019-03-09"
"Tigray","Tanqua-Abergele","Tekleweyni","planting","2019-05-09","2019-07-07"
"Tigray","Tanqua-Abergele","Tekleweyni","flowering","2019-08-21","2019-09-10"
"Tigray","Tanqua-Abergele","Tekleweyni","tasseling/seed filling","2019-08-27","2019-09-28"
"Tigray","Tanqua-Abergele","Tekleweyni","harvesting","2019-11-07","2019-12-10"
"Tigray","Tanqua-Abergele","Siye","land preparation","2019-12-22","2020-01-23"
"Tigray","Tanqua-Abergele","Siye","planting","2019-05-09","2019-06-22"
"Tigray","Tanqua-Abergele","Siye","flowering","2019-08-21","2019-09-10"
"Tigray","Tanqua-Abergele","Siye","tasseling/seed filling","2019-08-26","2019-09-28"
"Tigray","Tanqua-Abergele","Siye","harvesting","2019-11-14","2019-12-10"
"Tigray","Tanqua-Abergele","Tseykeme","land preparation","2019-01-08","2019-03-09"
"Tigray","Tanqua-Abergele","Tseykeme","planting","2019-05-24","2019-06-12"
"Tigray","Tanqua-Abergele","Tseykeme","flowering","2019-08-22","2019-09-05"
"Tigray","Tanqua-Abergele","Tseykeme","tasseling/seed filling","2019-09-06","2019-09-27"
"Tigray","Tanqua-Abergele","Tseykeme","harvesting","2019-10-21","2019-11-10"
"Tigray","Tanqua-Abergele","Negedebrhan","land preparation","2019-01-22","2019-02-22"
"Tigray","Tanqua-Abergele","Negedebrhan","planting","2019-05-09","2019-06-12"
"Tigray","Tanqua-Abergele","Negedebrhan","flowering","2019-08-07","2019-09-05"
"Tigray","Tanqua-Abergele","Negedebrhan","tasseling/seed filling","2019-08-21","2019-09-06"
