"","Name","Region","Timing","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"94","FelegeWayane","Atsbi","Early","26","11","10","26","32","5","0","0","5","0","40","29","3","31","21","30","1","32","0","4","13","2","0","21","11","3","0","0","25","11","0","7","29","12","1","4","0"
"95","FikreAlem","Hintalo Wajerat","Early","8","7","6","25","31","0","26","0","11","0","20","17","2","26","38","13","5","3","6","6","10","5","10","25","11","3","0","2","22","11","5","4","12","6","0","16","30"
"96","Filatako","Goncha Siso Enesie","Early","15","69","27","47","23","24","12","31","50","30","37","50","30","50","69","60","50","22","12","42","20","25","25","2","41","56","42","23","61","16","33","31","40","57","2","61","75"
"97","Gebsit","Shebel Berenta","Early","9","75","2","50","35","33","22","29","46","15","46","25","25","50","57","21","43","32","49","35","31","25","19","17","40","47","50","27","49","23","21","0","36","59","4","50","45"
"98","Gedayasu","Shebel Berenta","Early","9","75","2","50","35","33","22","29","46","15","46","25","25","50","57","21","43","32","49","35","31","25","19","17","40","47","50","27","49","23","21","0","36","59","4","50","45"
"99","GelaMatebiya","Ibinat","Early","15","50","28","35","50","56","24","25","35","0","22","57","12","62","54","3","14","12","22","36","26","23","34","3","35","42","56","11","62","30","32","25","36","21","7","48","75"
"100","Gendebta","Adwa","Early","30","30","5","39","56","11","3","0","8","12","26","38","10","30","66","44","4","27","4","10","30","16","12","16","18","18","20","21","25","25","20","0","0","20","3","24","53"
"101","Geneti","RayaAzebo","Early","8","0","0","2","1","0","1","0","16","0","12","0","3","36","30","0","0","0","25","6","9","5","0","3","3","0","0","0","0","0","0","0","0","0","0","23","4"
"102","Genfel","KinteAwelo","Early","27","11","11","26","35","1","0","0","11","0","19","27","4","29","24","31","1","31","0","4","14","2","0","20","11","4","0","0","26","12","0","6","30","12","0","9","0"
"103","Gera","TanquaAbergele","Early","30","2","1","47","56","10","32","7","41","12","35","40","25","61","50","30","23","27","32","29","35","17","25","36","16","23","39","49","29","16","3","13","14","50","23","51","55"
"104","Gerjale","Alamata","Early","11","0","0","25","1","0","1","0","0","0","0","0","3","14","37","0","0","2","13","8","0","5","0","0","3","10","0","0","14","0","0","0","0","0","5","5","8"
"105","GetskiMilesiley","KolaTembien","Early","32","2","15","33","70","42","45","11","41","0","39","47","25","75","36","41","28","25","13","10","24","23","25","31","3","5","36","60","41","25","8","7","25","46","36","42","75"
"106","Gijet","Samre","Early","30","7","7","50","52","15","18","16","21","17","35","55","0","49","22","34","26","24","0","0","25","11","13","25","10","4","0","43","36","20","3","27","15","39","12","32","25"
"107","Ginaza","Libo Kemkem","Early","49","50","40","44","75","65","70","50","33","40","53","75","70","75","75","51","38","41","73","50","51","22","39","75","68","73","54","40","75","53","50","35","61","50","34","75","75"
"108","Golgolemalee","Atsbi","Early","26","11","10","26","32","5","0","0","5","0","40","29","3","31","21","30","1","32","0","4","13","2","0","21","11","3","0","0","25","11","0","7","29","12","1","4","0"
"109","Goshedur","Enesie Sar Midir","Early","8","67","26","38","11","21","2","11","30","9","26","24","31","47","52","45","37","25","18","37","31","21","20","0","20","43","37","33","36","9","9","31","33","70","1","60","60"
"110","Goza","Libo Kemkem","Early","21","75","21","42","50","66","69","8","41","5","35","56","35","71","68","46","33","10","59","41","34","26","41","53","56","73","46","25","62","35","42","38","50","25","41","61","75"
"111","Grwre","Tanqua-Abergele","Early","31","2","13","52","55","16","26","6","47","17","54","44","25","75","54","40","14","27","31","30","35","28","31","40","26","15","50","43","27","25","3","18","12","50","33","55","55"
"112","GuemseAgamet","SaesiTsaedaemba","Early","26","0","0","25","3","3","0","0","9","0","26","4","0","29","8","19","0","30","0","4","14","2","0","7","3","2","0","0","25","8","6","0","11","18","0","5","0"
"113","Guroro","KolaTembien","Early","34","4","25","54","74","50","63","6","54","7","68","50","25","75","72","75","29","27","41","30","50","25","38","30","21","58","59","62","50","28","8","25","13","49","40","48","75"
"114","Guya","KolaTembien","Early","35","28","25","56","73","50","65","11","63","2","68","50","30","75","75","75","29","28","36","30","50","28","48","30","29","37","61","66","50","27","5","19","22","46","41","58","75"
"115","Habees","Atsbi","Early","28","11","11","26","34","1","0","0","6","0","24","28","4","27","22","31","2","21","0","4","13","2","0","22","12","4","0","0","26","12","2","8","31","12","9","0","0"
"116","Hadashtekli","Tanqua-Abergele","Early","31","7","16","36","61","34","20","7","49","6","41","49","25","57","47","31","23","27","11","29","29","25","18","41","25","20","43","61","29","23","3","7","25","50","36","53","55"
"117","HadeAlga","RayaAzebo","Early","9","0","0","0","0","0","1","0","0","0","4","0","3","16","39","0","0","0","6","7","9","9","0","3","2","0","0","0","0","0","0","0","0","0","0","5","5"
"118","HadnetK","KinteAwelo","Early","27","13","14","25","38","1","0","0","32","0","36","38","7","40","35","26","5","23","0","4","13","0","0","28","11","6","0","6","22","12","1","10","35","13","8","9","0"
"119","HadnetS","SaesiTsaedaemba","Early","26","0","0","25","2","0","1","0","9","0","26","0","0","26","19","25","0","15","0","4","14","2","7","4","7","2","11","0","25","7","3","0","11","20","0","8","7"
"120","HadushAdi","SaesiTsaedaemba","Early","26","0","0","22","2","4","1","0","9","0","26","0","0","40","8","24","0","15","7","4","15","2","7","4","3","2","1","0","25","25","6","0","10","14","0","0","0"
"121","HadushHiwet","SaesiTsaedaemba","Early","26","0","0","22","2","4","4","0","0","0","26","0","0","11","8","25","2","16","7","4","20","2","7","4","6","0","0","2","25","25","6","0","0","11","0","3","0"
"122","HagereGenet","Enesie Sar Midir","Early","8","67","18","44","9","15","17","5","38","5","26","20","14","42","50","38","43","15","17","26","26","25","16","20","20","46","39","36","36","15","0","31","52","66","0","63","63"
"123","HagereSelamE","Enesie Sar Midir","Early","7","61","0","25","5","21","8","5","28","5","50","20","10","50","68","28","44","18","17","13","16","20","12","22","17","38","19","25","37","13","0","0","28","53","0","50","62"
"124","HagereSelamW","Hintalo Wajerat","Early","15","11","10","25","36","1","25","6","14","0","28","36","2","31","49","25","5","21","25","1","10","0","12","25","6","5","0","6","5","12","1","8","23","9","1","16","30"
"125","Hangoda","SaesiTsaedaemba","Early","26","0","0","25","2","0","1","0","9","0","26","0","0","26","19","25","0","15","0","4","14","2","7","4","7","2","11","0","25","7","3","0","11","20","0","8","7"
"126","Hareko","Hintalo Wajerat","Early","27","8","5","25","33","0","52","6","20","0","34","18","2","35","28","16","15","9","6","6","30","5","19","25","16","15","0","3","27","6","19","4","13","6","1","15","37"
